№,Название:,Ингредиенты на 1 порцию:,Приготовление:,Какое блюдо,Блюдо из
11,Грушевый сок,"Спелые груши – 2 штуки.
Вода – 100 мл (по желанию, для разбавления).","Вымойте груши под проточной водой.
Очистите груши от кожуры (по желанию) и удалите сердцевину. Нарежьте груши на кусочки.
Поместите нарезанные груши в соковыжималку и отожмите сок.
Если сок получился густым, добавьте воду для разбавления до желаемой консистенции.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сок был свежим и содержал максимум витаминов.",напитки,сок
12,Персиковый сок,"Спелый персик – 1 штука.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте персик под проточной водой.
Очистите персик от кожуры, если хотите, и удалите косточку.
Нарежьте мякоть персика на небольшие кусочки.
Поместите нарезанную мякоть персика в блендер или соковыжималку.
Измельчите до получения однородной массы.
Если используете блендер, перелейте массу через сито или марлю, чтобы отделить сок от мякоти.
При необходимости добавьте воду для разбавления до желаемой консистенции.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сок был свежим и содержал максимальное количество витаминов.",напитки,сок
13,Сок из киви,"Спелый киви – 2 штуки.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте киви под проточной водой.
Очистите киви от кожуры и нарежьте на небольшие кусочки.
Поместите нарезанные кусочки киви в блендер.
Измельчите до получения однородной массы.
Если у вас нет соковыжималки, перелейте массу через сито или марлю, чтобы отделить сок от мякоти.
При необходимости добавьте воду для разбавления до желаемой консистенции.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимальное количество витаминов.",напитки,сок
14,Сок из банана,"Спелый банан – 1 штука.
Вода – 100-150 мл (по желанию, для разбавления).","Вымойте банан под проточной водой.
Очистите банан от кожуры и нарежьте на кусочки.
Поместите нарезанные кусочки банана в блендер.
Добавьте воду.
Измельчите до получения однородной массы.
Перелейте смесь в стакан.
Подавайте сразу же, чтобы сок был свежим.",напитки,сок
15,Сок из сладких сортов сливы,"Спелые сладкие сливы (например, сорта «Чернослив» или «Сатурн») – 2-3 штуки.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте сливы под проточной водой.
Удалите косточки и нарежьте мякоть сливы на небольшие кусочки.
Поместите нарезанную мякоть слив в блендер.
Добавьте воду, если хотите, чтобы сок был более жидким.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти.
Если используете соковыжималку, просто отожмите сок.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сок был свежим и сохранял максимум витаминов.",напитки,сок
16,Сок из апельсинов,"Спелый апельсин – 1 штука.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте апельсин под проточной водой.
Разрежьте апельсин пополам.
Используйте ручной пресс для цитрусовых или электрическую соковыжималку, чтобы выжать сок из апельсина.
Если используете пресс, выжмите сок, держа каждую половину над чашкой или стаканом.
Если сок слишком концентрированный, добавьте воду для разбавления до желаемой консистенции.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимальное количество витаминов.",напитки,сок
17,Сок из мандарин,"Спелые мандарины – 2-3 штуки.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте мандарины под проточной водой.
Очистите мандарины от кожуры и удалите возможные косточки.
Используйте ручной пресс для цитрусовых или электрическую соковыжималку для выжимания сока из мандарин.
Если используете пресс, выжмите сок, держа каждый мандарин над чашкой или стаканом.
Если сок слишком концентрированный, добавьте воду для разбавления до желаемой консистенции.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимум витаминов.",напитки,сок
18,Сок из арбуза,"Спелый арбуз – 200-250 г (без корки и семян).
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте арбуз под проточной водой.
Нарежьте арбуз на кусочки, удалите корку и семена.
Нарежьте мякоть арбуза на небольшие кусочки.
Поместите нарезанные кусочки арбуза в блендер.
Если хотите, добавьте немного воды для разбавления.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти.
Если у вас есть соковыжималка, используйте её для получения сока.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сок был свежим.",напитки,сок
19,Сок из манго,"Спелое манго – 1 средний плод.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте манго под проточной водой.
Разрежьте манго на половинки и удалите косточку.
Нарежьте мякоть манго на небольшие кусочки.
Поместите нарезанные кусочки манго в блендер.
Если хотите, добавьте немного воды для облегчения процесса измельчения.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти. Это необязательно, если вам не мешает консистенция.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимальное количество витаминов.",напитки,сок
20,Сок из клубники,"Спелая клубника – 150-200 г.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте клубнику под проточной водой.
Удалите хвостики и любые поврежденные участки.
Нарежьте клубнику на половинки или четвертинки.
Поместите нарезанную клубнику в блендер.
Если хотите, добавьте немного воды для облегчения процесса измельчения.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти. Это необязательно, если вам не мешает консистенция.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимум витаминов.",напитки,сок
21,Сок из земляники,"Спелая земляника – 150-200 г.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте землянику под проточной водой.
Удалите хвостики и любые поврежденные участки.
Нарежьте землянику на половинки или четвертинки.
Поместите нарезанную землянику в блендер.
Если хотите, добавьте немного воды для облегчения процесса измельчения.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти. Это необязательно, если вам не мешает консистенция.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимум витаминов.",напитки,сок
22,Сок из малины,"Спелая малина – 150-200 г.
Вода – 50-100 мл (по желанию, для разбавления).
Мед или другой подсластитель (по желанию) – по вкусу.","Вымойте малину под проточной водой.
Удалите любые поврежденные или мягкие ягоды.
Поместите малину в блендер.
Если хотите, добавьте немного воды для облегчения процесса измельчения.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти. Можно использовать ложку, чтобы помочь процедуре.
При необходимости добавьте немного меда или другого подсластителя. Хорошо перемешайте.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимум витаминов.",напитки,сок
23,Сок из черники,"Спелая черника – 150-200 г.
Вода – 50-100 мл (по желанию, для разбавления).","Вымойте чернику под проточной водой.
Удалите любые поврежденные или мягкие ягоды.
Поместите чернику в блендер.
Если хотите, добавьте немного воды для облегчения процесса измельчения.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти. Можно использовать ложку, чтобы помочь процедуре.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимум витаминов.",напитки,сок
24,Сок из черешни,"Спелая черешня – 150-200 г.
Вода – 50-100 мл (по желанию, для разбавления).
Мед или другой подсластитель (по желанию) – по вкусу.","Вымойте черешню под проточной водой.
Удалите косточки из черешни (это можно сделать вручную или с помощью специального инструмента).
Поместите очищенные от косточек ягоды в блендер.
Если хотите, добавьте немного воды для облегчения процесса измельчения.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти. Можно использовать ложку, чтобы помочь процедуре.
Если сок вам кажется недостаточно сладким, добавьте немного меда или другого подсластителя. Хорошо перемешайте.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимум витаминов.",напитки,сок
25,Сок из голубики,"Голубика – 150-200 г.
Вода – 50-100 мл (по желанию, для разбавления).
Мед или другой подсластитель (по желанию) – по вкусу.","Вымойте голубику под проточной водой.
Удалите любые поврежденные или мягкие ягоды.
Поместите голубику в блендер.
Если хотите, добавьте немного воды для облегчения процесса измельчения.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти. Можно использовать ложку, чтобы помочь процедуре.
Если сок вам кажется недостаточно сладким, добавьте немного меда или другого подсластителя. Хорошо перемешайте.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимум витаминов.",напитки,сок
26,Сок из ананаса,"Спелый ананас – 150-200 г (примерно 1 чашка нарезанного ананаса).
Вода – 50-100 мл (по желанию, для разбавления).
Мед или другой подсластитель (по желанию) – по вкусу.","Очистите ананас от кожицы и удалите сердцевину.
Нарежьте мякоть ананаса на небольшие кусочки.
Поместите нарезанную мякоть ананаса в блендер.
Если хотите, добавьте немного воды для облегчения процесса измельчения.
Измельчите до получения однородной массы.
Перелейте массу через сито или марлю, чтобы отделить сок от мякоти. Можно использовать ложку, чтобы помочь процедуре.
Если сок вам кажется недостаточно сладким, добавьте немного меда или другого подсластителя. Хорошо перемешайте.
Перелейте сок в стакан.
Подавайте сразу же, чтобы сохранить свежесть и максимум витаминов.",напитки,сок
